"번호","구분","업체명","소재지","인허가 정보","이전인허가정보"
"225"," 미용","장평펫샵(장평동물병원)","서울특별시 동대문구 장안동","305000004920180025","305000003720180025"
"226"," 미용","디아크 동물병원","서울특별시 동대문구 청량리동","305000004920180021","305000003720180021"
"227"," 미용","뉴월드 동물병원","서울특별시 동대문구 답십리동","305000004920180024","305000003720180024"
"228"," 미용","바론 동물의료센터","서울특별시 동대문구 이문동","305000004920180020","305000003720180020"
"229"," 미용","더케이 동물병원","서울특별시 동대문구 답십리동","305000004920180018","305000003720180018"
"230"," 미용","엘 동물병원","서울특별시 동대문구 용두동","305000004920180013","305000003720180013"
"231"," 미용","그루밍 플래너","서울특별시 동대문구 답십리동","305000004920180008","305000003720180008"
"232"," 미용","퍼피테일","서울특별시 동대문구 답십리동","305000004920180006","305000003720180006"
"233"," 미용","미니 앤 바니 애견샵","서울특별시 동대문구 장안동","305000004920180004","305000003720180004"
"234"," 미용","CPP(씨피피)","서울특별시 중랑구 상봉동","306000004920230001",""
"235"," 미용","트리트멍트","서울특별시 중랑구 면목동","306000004920220017",""
"236"," 미용","나나펫","서울특별시 중랑구 묵동","306000004920220016",""
"237"," 미용","감성있개","서울특별시 중랑구 신내동","306000004920220015",""
"238"," 미용","털뭉치들","서울특별시 중랑구 면목동","306000004920220014",""
"239"," 미용","까까줄개","서울특별시 중랑구 신내동","306000004920220013",""
"240"," 미용","사랑옵다","서울특별시 중랑구 망우동","306000004920220012","306000003720220012"
"241"," 미용","강아지 미용실","서울특별시 중랑구 묵동","306000004920220003","306000003720220003"
"242"," 미용","디디그루밍","서울특별시 중랑구 상봉동","306000004920220002","306000003720220002"
"243"," 미용","이모네 강아지","서울특별시 중랑구 묵동","306000004920210016","306000003720210016"
"244"," 미용","마리앤독","서울특별시 중랑구 중화동","306000004920210014","306000003720210014"
"245"," 미용","깔끔하개","서울특별시 중랑구 면목동","306000004920210013","306000003720210013"
"246"," 미용","닥터멍펫샵","서울특별시 중랑구 면목동","306000004920210012","306000003720210012"
"247"," 미용","화사하개","서울특별시 중랑구 묵동","306000004920210011","306000003720210011"
"248"," 미용","the 개 #","서울특별시 중랑구 면목동","306000004920210007","306000003720210007"
"249"," 미용","다시사랑받개","서울특별시 중랑구 신내동","306000004920210006","306000003720210006"
"250"," 미용","털찐친구들","서울특별시 중랑구 망우동","306000004920210004","306000003720210004"
"251"," 미용","i꾸러미","서울특별시 중랑구 상봉동","306000004920200012","306000003720200012"
"252"," 미용","댕댕살롱","서울특별시 중랑구 면목동","306000004920200006","306000003720200006"
"253"," 미용","내안에너있DOG","서울특별시 중랑구 신내동","306000004920200009","306000003720200009"
"254"," 미용","꼬마애견","서울특별시 중랑구 중화동","306000004920190023","306000003720190023"
"255"," 미용","아이봄동물병원","서울특별시 중랑구 신내동","306000004920190022","306000003720190022"
"256"," 미용","지앤에프","서울특별시 중랑구 면목동","306000004920190020","306000003720190020"
"257"," 미용","59펫살롱","서울특별시 중랑구 면목동","306000004920190014","306000003720190014"
"258"," 미용","예뿌잔아","서울특별시 중랑구 상봉동","306000004920190013","306000003720190013"
"259"," 미용","몽스토리","서울특별시 중랑구 망우동","306000004920190010","306000003720190010"
"260"," 미용","개발소","서울특별시 중랑구 면목동","306000004920190006","306000003720190006"
"261"," 미용","말랑말랑","서울특별시 중랑구 중화동","306000004920180079","306000003720180079"
"262"," 미용","디자인펫샵","서울특별시 중랑구 면목동","306000004920180075","306000003720180075"
"263"," 미용","코타강쥐","서울특별시 중랑구 면목동","306000004920180073","306000003720180073"
"264"," 미용","강사모펫","서울특별시 중랑구 중화동","306000004920180072","306000003720180072"
"265"," 미용","바르다펫 중화점","서울특별시 중랑구 중화동","306000004920180071","306000003720180071"
"266"," 미용","도그앤스토리","서울특별시 중랑구 묵동","306000004920180069","306000003720180069"
"267"," 미용","닥터아이펫 동물병원","서울특별시 중랑구 상봉동","306000004920180068","306000003720180068"
"268"," 미용","면목독","서울특별시 중랑구 면목동","306000004920180066","306000003720180066"
"269"," 미용","개날라리","서울특별시 중랑구 면목동","306000004920180058","306000003720180058"
"270"," 미용","쁘띠멍","서울특별시 중랑구 면목동","306000004920180054","306000003720180054"
"271"," 미용","금란동물애견","서울특별시 중랑구 망우동","306000004920180050","306000003720180050"
"272"," 미용","성지동물병원","서울특별시 중랑구 면목동","306000004920180053","306000003720180053"
"273"," 미용","멍멍이천국","서울특별시 중랑구 망우동","306000004920180049","306000003720180049"
"274"," 미용","사랑해줄개","서울특별시 중랑구 신내동","306000004920180047","306000003720180047"
"275"," 미용","큐티펫","서울특별시 중랑구 면목동","306000004920180040","306000003720180040"
"276"," 미용","순진한 강아지","서울특별시 중랑구 망우동","306000004920180038","306000003720180038"
"277"," 미용","숲속동물병원","서울특별시 중랑구 면목동","306000004920180036","306000003720180036"
"278"," 미용","러블리펫","서울특별시 중랑구 묵동","306000004920180028","306000003720180028"
"279"," 미용","하이 그루밍","서울특별시 중랑구 묵동","306000004920180029","306000003720180029"
"280"," 미용","춘살롱","서울특별시 중랑구 면목동","306000004920180025","306000003720180025"
"281"," 미용","주연동물병원","서울특별시 중랑구 면목동","306000004920180024","306000003720180024"
"282"," 미용","엔젤퍼피","서울특별시 중랑구 중화동","306000004920180023","306000003720180023"
"283"," 미용","보람동물병원","서울특별시 중랑구 면목동","306000004920180022","306000003720180022"
"284"," 미용","쿨한 강아지","서울특별시 중랑구 망우동","306000004920180018","306000003720180018"
"285"," 미용","혜원동물병원","서울특별시 중랑구 면목동","306000004920180017","306000003720180017"
"286"," 미용","보담동물병원","서울특별시 중랑구 면목동","306000004920180016","306000003720180016"
"287"," 미용","진정훈동물병원","서울특별시 중랑구 중화동","306000004920180014","306000003720180014"
"288"," 미용","진서동물병원","서울특별시 중랑구 신내동","306000004920180011","306000003720180011"
"289"," 미용","강아지미용실502","서울특별시 중랑구 망우동","306000004920180008","306000003720180008"
"290"," 미용","면목동물병원","서울특별시 중랑구 면목동","306000004920180007","306000003720180007"
"291"," 미용","니니 애견 미용실","서울특별시 중랑구 묵동","306000004920180006","306000003720180006"
"292"," 미용","몽몽이#","서울특별시 중랑구 면목동","306000004920180005","306000003720180005"
"293"," 미용","다Dog다Dog","서울특별시 성북구 종암동","307000004920230001",""
"294"," 미용","멍 스타일","서울특별시 성북구 하월곡동","307000004920220013",""
"295"," 미용","포포동물병원","서울특별시 성북구 보문동7가","307000004920220012",""
"296"," 미용","도글로리(Doglory)","서울특별시 성북구 하월곡동","307000004920220011",""
"297"," 미용","단디단디","서울특별시 성북구 종암동","307000004920220010",""
"298"," 미용","보미 펫 살롱","서울특별시 성북구 보문동1가","307000004920220009",""
"299"," 미용","마이뷰티독","서울특별시 성북구 길음동","307000004920220008",""
"300"," 미용","편안하개","서울특별시 성북구 하월곡동","307000004920220007",""
"301"," 미용","봄동살롱","서울특별시 성북구 종암동","307000004920220006",""
"302"," 미용","몽슈슈펫","서울특별시 성북구 정릉동","307000004920220005","307000003720220005"
"303"," 미용","바스인더썬","서울특별시 성북구 장위동","307000004920220002","307000003720220002"
"304"," 미용","드로잉독","서울특별시 성북구 삼선동4가","307000004920210013","307000003720210013"
